NET.*#C*OOP*.NET Core*ASP.NET Core*RestFul API,9000000,Full-time
Front-end*Vue*Router*Vuex*CSS*HTML*Javascript,Unknown,Full-time
تست نرم افزار*آزمون نرم‌افزار*مستندسازی*agile,Unknown,Full-time
C#*Visual Studio*MySQL,Unknown,Full-time
Wordpress*HTML*Front-end*CSS*Responsive*Bootstrap,Unknown,Full-time
Wordpress*Javascript*CSS*HTML5*PHP,Unknown,Full-time
Front-end*HTML*CSS*Bootstrap*jQuery*Angular,Unknown,Full-time&Remote
کنترل پروژه*Jira*گزارش نویسی,Unknown,Full-time
Front-end*PHP*برنامه نویسی وب,4000000,Full-time
Back-end*PHP*Laravel*OOP*MySQL,Unknown,Full-time
Nodejs*RestFul API*MySQL*MongoDB,Unknown,Full-time
Go*Gin*NoSQL,9000000,Full-time
Javascript*jQuery*Front-end*HTML5*CSS3,Unknown,Full-time
C#*OOP*Entity Framework,Unknown,Full-time
Android*Java*Kotlin*Android SDK,9000000,Full-time
MVC*ASP.NET MVC*Javascript,Unknown,Full-time
Front-end*CSS3*HTML5*Javascript,Unknown,Full-time
PHP*OOP*HTML*Laravel*CSS*Javascript*MySQL,9000000,Full-time
Front-end*Angular*CSS*HTML*Javascript*typescript,Unknown,Full-time
Python*HTML5*CSS3,Unknown,Full-time
Node.js*Blockchain,6500000,Full-time
.NET*ASP.NET*C#*jQuery*MVC*AngularJS,Unknown,Full-time
Front-end*React*Angular*HTML*CSS,Unknown,Full-time
PHP*Laravel*HTML*CSS*Javascript,Unknown,Full-time
شبکه*client*Sql Server*Mikrotik*CISCO,Unknown,Full-time
WPF*Git*MVVM*XAML,Unknown,Full-time
Back-end*MongoDB*Node.js*CI/CD*typescript,9000000,Full-time&Remote
RubyOnRails*کارآموزی,Unknown,Full-time
PHP*MySQL*Javascript*Laravel,Unknown,Full-time
Flutter*REST API*Swagger*dart*Responsive,Unknown,Full-time
PHP*HTML5*CSS3*ES6*RESTful Web Service*API,Unknown,Full-time
مجازی سازی*VMWare*HPE*storage,Unknown,Full-time
ReactJS*Javascript*Redux*NextJS,Unknown,Full-time
برنامه نویسی وب*PHP*magento*MVC,Unknown,Full-time
تست نرم افزار*Scrum*CI/CD*Back-end,Unknown,Full-time
OOP*ASP.NET MVC*ASP.NET Core*توسعه وب*Sql Server,4000000,Full-time
Java*OOP*SOLID*spring*jpa*agile,Unknown,Full-time
Blockchain*Nodejs*MySQL,Unknown,Full-time&Remote
SQL*oracle*Oracle Database*Pl/sql,Unknown,Full-time
Back-end*.NET Core*C#*RestFul API*Sql Server*Entity Framework,Unknown,Full-time
Full-stack*.NET Framework*C#*ASP.NET*Javascript,9000000,Full-time
.NET Core*Angular*RestFul API*Front-end,Unknown,Full-time
Algorithms*برنامه‌نویسی,9000000,Full-time&Remote
Laravel*PHP*RestFul API*MySQL*OOP*Git,Unknown,Full-time&Remote
C++*Qt*Scrum,9000000,Full-time
